date,category,product,distribution_center,supplier,manual_forecast,actual_demand,stock_level,lead_time_days,delivery_performance,customer_satisfaction,allocation_efficiency,forecast_accuracy,stockout,stockout_qty,overstock,overstock_qty,forecast_error,forecast_error_pct,forecast_bias,forecast_accuracy_band
2023-10-01,Electronics,Laptop,East DC,Supplier D,250,225,274,13,92,4.1,73.34,88.89,False,0,True,49,25,11.11,Over-forecast,Good (80-90%)
2023-10-01,Electronics,Laptop,West DC,Supplier E,209,226,233,10,98,4.5,95.7,92.48,False,0,False,7,-17,7.52,Under-forecast,Excellent (90-100%)
2023-10-01,Electronics,Phone,East DC,Supplier D,233,216,247,8,97,4.97,84.5,92.13,False,0,False,31,17,7.87,Over-forecast,Excellent (90-100%)
2023-10-01,Electronics,Phone,Central DC,Supplier E,125,120,139,10,84,4.24,89.09,95.83,False,0,False,19,5,4.17,Accurate,Excellent (90-100%)
2023-10-01,Electronics,Camera,South DC,Supplier D,129,147,142,7,97,3.66,96.98,87.76,True,5,False,0,-18,12.24,Under-forecast,Good (80-90%)
2023-10-01,Electronics,Camera,Central DC,Supplier C,220,230,231,5,100,4.98,96.36,95.65,False,0,False,1,-10,4.35,Accurate,Excellent (90-100%)
2023-10-01,Clothing,Sweater,East DC,Supplier A,161,184,175,2,100,3.65,96.47,87.5,True,9,False,0,-23,12.5,Under-forecast,Good (80-90%)
2023-10-01,Clothing,Sweater,West DC,Supplier A,229,197,257,2,100,4.28,62.47,83.76,False,0,True,60,32,16.24,Over-forecast,Good (80-90%)
2023-10-01,Clothing,T-shirt,Central DC,Supplier C,341,310,376,4,96,4.65,73.83,90.0,False,0,True,66,31,10.0,Over-forecast,Good (80-90%)
2023-10-01,Clothing,T-shirt,West DC,Supplier E,386,338,443,16,76,3.75,52.16,85.8,False,0,True,105,48,14.2,Over-forecast,Good (80-90%)
2023-10-01,Clothing,Jacket,Central DC,Supplier C,211,194,229,5,100,4.81,82.03,91.24,False,0,False,35,17,8.76,Over-forecast,Excellent (90-100%)
2023-10-01,Clothing,Jacket,West DC,Supplier D,145,133,161,4,96,4.89,78.04,90.98,False,0,True,28,12,9.02,Accurate,Excellent (90-100%)
2023-10-01,Food,Eggs,West DC,Supplier C,246,262,260,3,96,4.26,95.0,93.89,True,2,False,0,-16,6.11,Under-forecast,Excellent (90-100%)
2023-10-01,Food,Eggs,Central DC,Supplier E,416,430,461,17,92,4.82,93.52,96.74,False,0,False,31,-14,3.26,Accurate,Excellent (90-100%)
2023-10-01,Food,Milk,West DC,Supplier E,339,323,380,7,96,4.8,89.77,95.05,False,0,False,57,16,4.95,Over-forecast,Excellent (90-100%)
2023-10-01,Food,Milk,South DC,Supplier A,429,453,463,3,100,4.91,96.19,94.7,False,0,False,10,-24,5.3,Under-forecast,Excellent (90-100%)
2023-10-01,Food,Chocolate,East DC,Supplier E,239,257,263,6,100,4.62,95.2,93.0,False,0,False,6,-18,7.0,Under-forecast,Excellent (90-100%)
2023-10-01,Food,Chocolate,West DC,Supplier E,412,379,471,11,99,4.42,75.18,91.29,False,0,True,92,33,8.71,Over-forecast,Excellent (90-100%)
2023-10-01,Home Goods,Rug,Central DC,Supplier A,57,54,61,4,100,4.85,85.17,94.44,False,0,False,7,3,5.56,Accurate,Excellent (90-100%)
2023-10-01,Home Goods,Rug,East DC,Supplier B,49,55,54,6,100,4.2,99.25,89.09,True,1,False,0,-6,10.91,Accurate,Good (80-90%)
2023-10-01,Home Goods,Lamp,West DC,Supplier D,107,129,125,14,76,3.23,97.43,82.95,True,4,False,0,-22,17.05,Under-forecast,Good (80-90%)
2023-10-01,Home Goods,Lamp,South DC,Supplier D,66,85,75,5,100,2.77,86.58,77.65,True,10,False,0,-19,22.35,Under-forecast,Fair (70-80%)
2023-10-01,Home Goods,Curtains,Central DC,Supplier E,77,87,88,34,40,3.87,97.17,88.51,False,0,False,1,-10,11.49,Accurate,Good (80-90%)
2023-10-01,Home Goods,Curtains,East DC,Supplier B,69,79,76,4,100,3.64,99.7,87.34,True,3,False,0,-10,12.66,Accurate,Good (80-90%)
2023-10-01,Sports,Tennis Racket,West DC,Supplier D,150,130,170,9,96,4.19,69.61,84.62,False,0,True,40,20,15.38,Over-forecast,Good (80-90%)
2023-10-01,Sports,Tennis Racket,South DC,Supplier B,114,143,128,4,97,2.89,80.97,79.72,True,15,False,0,-29,20.28,Under-forecast,Fair (70-80%)
2023-10-01,Sports,Yoga Mat,East DC,Supplier E,67,73,76,21,52,3.92,97.76,91.78,False,0,False,3,-6,8.22,Accurate,Excellent (90-100%)
