date,category,product,distribution_center,supplier,manual_forecast,actual_demand,stock_level,lead_time_days,delivery_performance,customer_satisfaction,allocation_efficiency,forecast_accuracy,stockout,stockout_qty,overstock,overstock_qty,forecast_error,forecast_error_pct,forecast_bias
2023-10-01,Electronics,Laptop,South DC,Supplier C,248,212,271,7,100,4.29,72.17,83.02,False,0,True,59,36,16.98,Over-forecast
2023-10-01,Electronics,Laptop,East DC,Supplier D,137,150,151,17,60,3.9,99.33,91.33,False,0,False,1,-13,8.67,Under-forecast
2023-10-01,Electronics,Smart Watch,Central DC,Supplier B,192,227,202,6,100,3.72,88.99,84.58,True,25,False,0,-35,15.42,Under-forecast
2023-10-01,Electronics,Smart Watch,East DC,Supplier B,179,166,192,4,99,4.99,84.34,92.17,False,0,False,26,13,7.83,Over-forecast
2023-10-01,Electronics,Phone,South DC,Supplier D,189,168,212,16,70,3.7,73.81,87.5,False,0,True,44,21,12.5,Over-forecast
2023-10-01,Electronics,Phone,West DC,Supplier E,257,215,276,12,80,3.7,71.63,80.47,False,0,True,61,42,19.53,Over-forecast
2023-10-01,Clothing,Jacket,West DC,Supplier E,536,450,611,22,60,3.84,64.22,80.89,False,0,True,161,86,19.11,Over-forecast
2023-10-01,Clothing,Jacket,South DC,Supplier C,409,474,458,5,100,4.03,96.62,86.29,True,16,False,0,-65,13.71,Under-forecast
2023-10-01,Clothing,Dress,Central DC,Supplier B,374,335,426,4,97,4.43,72.84,88.36,False,0,True,91,39,11.64,Over-forecast
2023-10-01,Clothing,Dress,South DC,Supplier A,199,225,218,3,100,4.14,96.89,88.44,True,7,False,0,-26,11.56,Under-forecast
2023-10-01,Clothing,Jeans,South DC,Supplier E,130,160,143,16,99,3.44,89.38,81.25,True,17,False,0,-30,18.75,Under-forecast
2023-10-01,Clothing,Jeans,Central DC,Supplier E,272,339,299,9,97,3.36,88.2,80.24,True,40,False,0,-67,19.76,Under-forecast
2023-10-01,Food,Milk,East DC,Supplier E,399,443,458,16,100,4.99,96.61,90.07,False,0,False,15,-44,9.93,Under-forecast
2023-10-01,Food,Milk,South DC,Supplier B,373,317,397,5,100,4.04,74.76,82.33,False,0,True,80,56,17.67,Over-forecast
2023-10-01,Food,Cheese,East DC,Supplier A,276,342,304,1,97,3.58,88.89,80.7,True,38,False,0,-66,19.3,Under-forecast
2023-10-01,Food,Cheese,West DC,Supplier A,304,355,322,2,100,4.29,90.7,85.63,True,33,False,0,-51,14.37,Under-forecast
2023-10-01,Food,Coffee,South DC,Supplier E,377,336,432,14,70,3.82,71.43,87.8,False,0,True,96,41,12.2,Over-forecast
2023-10-01,Food,Coffee,Central DC,Supplier E,292,250,331,7,101,4.22,67.6,83.2,False,0,True,81,42,16.8,Over-forecast
2023-10-01,Home Goods,Curtains,Central DC,Supplier A,111,94,125,3,100,4.49,67.02,81.91,False,0,True,31,17,18.09,Over-forecast
2023-10-01,Home Goods,Curtains,West DC,Supplier A,152,128,173,4,100,4.61,64.84,81.25,False,0,True,45,24,18.75,Over-forecast
2023-10-01,Home Goods,Table,Central DC,Supplier B,143,127,154,6,100,4.24,78.74,87.4,False,0,True,27,16,12.6,Over-forecast
2023-10-01,Home Goods,Table,East DC,Supplier D,78,90,84,6,99,4.27,93.33,86.67,True,6,False,0,-12,13.33,Under-forecast
2023-10-01,Home Goods,Rug,West DC,Supplier B,166,183,184,4,99,4.96,99.45,90.71,False,0,False,1,-17,9.29,Under-forecast
2023-10-01,Home Goods,Rug,South DC,Supplier A,132,151,151,2,97,4.32,100.0,87.42,False,0,False,0,-19,12.58,Under-forecast
2023-10-01,Sports,Running Shoes,Central DC,Supplier E,146,182,165,15,80,3.63,90.66,80.22,True,17,False,0,-36,19.78,Under-forecast
2023-10-01,Sports,Running Shoes,West DC,Supplier B,70,85,74,2,99,3.71,87.06,82.35,True,11,False,0,-15,17.65,Under-forecast
2023-10-01,Sports,Tennis Racket,East DC,Supplier C,169,202,193,9,100,4.0,95.54,83.66,True,9,False,0,-33,16.34,Under-forecast
2023-10-01,Sports,Tennis Racket,Central DC,Supplier E,149,170,166,21,80,3.73,97.65,87.65,True,4,False,0,-21,12.35,Under-forecast
2023-10-01,Sports,Yoga Mat,South DC,Supplier E,170,189,189,11,90,4.47,100.0,89.95,False,0,False,0,-19,10.05,Under-forecast
